geometry.coordinates	route_name	name	stop_number	stop_modifier
144.9611313,-37.8103564	Tram 35: Waterfront City => La Trobe Street => Flinders Street => Waterfront City	Melbourne Central Station	5	
144.9607257,-37.8105093	Tram 30: St Vincent's Plaza => Central Pier	Melbourne Central Station	5	
144.9641307,-37.8095172	Tram 30: St Vincent's Plaza => Central Pier	Melbourne Central and State Library Stations	6	
144.9759218,-37.7917339	Tram 96: St Kilda Beach => East Brunswick	Alexandra Parade	15	
144.9802955,-37.7671267	Tram 96: East Brunswick => St Kilda Beach	Blyth Street	23	
144.9735329,-37.8056952	Tram 86: Waterfront City => RMIT University Bundoora Campus	Melbourne Museum	11	
144.9735329,-37.8056952	Tram 96: St Kilda Beach => East Brunswick	Melbourne Museum	11	
144.9735212,-37.806239	Tram 86: RMIT University Bundoora Campus => Waterfront City	Melbourne Museum	11	
144.9735212,-37.806239	Tram 96: East Brunswick => St Kilda Beach	Melbourne Museum	11	
144.9740021,-37.7619015	Tram 1: East Coburg => South Melbourne Beach	Albion Street	127	
144.9740021,-37.7619015	Tram 6: Moreland railway station => Glen Iris	Albion Street	127	
144.9733053,-37.762424	Tram 1: South Melbourne Beach => East Coburg	Albion Street	127	
144.9733053,-37.762424	Tram 6: Glen Iris => Moreland railway station	Albion Street	127	
144.9726313,-37.76644	Tram 1: East Coburg => South Melbourne Beach	Blyth Street	125	
144.9726313,-37.76644	Tram 6: Moreland railway station => Glen Iris	Blyth Street	125	
144.9730192,-37.7642635	Tram 1: East Coburg => South Melbourne Beach	Stewart Street	126	
144.9730192,-37.7642635	Tram 6: Moreland railway station => Glen Iris	Stewart Street	126	
144.9729623,-37.7643996	Tram 1: South Melbourne Beach => East Coburg	Stewart Street	126	
144.9729623,-37.7643996	Tram 6: Glen Iris => Moreland railway station	Stewart Street	126	
144.9725553,-37.7666545	Tram 1: South Melbourne Beach => East Coburg	Blyth Street	125	
144.9725553,-37.7666545	Tram 6: Glen Iris => Moreland railway station	Blyth Street	125	
144.9722796,-37.7682068	Tram 1: South Melbourne Beach => East Coburg	Victoria Street	124	
144.9722796,-37.7682068	Tram 6: Glen Iris => Moreland railway station	Victoria Street	124	
